User ID,User display name,Timestamp,আপনি কত সালে প্রথমবার লিনাক্স ব্যবহার করেছেন?,আপনি প্রথমবার কোন ওএস ব্যবহার করছেন?,আপনি এখন কোন প্রসেসর ব্যবহার করছেন?,আপনার সিস্টেমে কত RAM আছে?,আপনি এখন কোন ওএস ব্যবহার করছেন?,আপনি এখন কোন ডেস্কটপ এনভায়রনমেন্ট ব্যবহার করছেন?,আপনি কি টাইলিং উইন্ডো ম্যানেজার ব্যবহার করেন?,আপনি এখন কোন টাইলিং উইন্ডো ম্যানেজার ব্যবহার করছেন?,আপনি কোন টার্মিনাল এমুলেটর ব্যবহার করেন?,আপনার প্রিয় শেল (Shell) কোনটি?,আপনি কোন বাংলা কিবোর্ড লেআউট ব্যবহার করেন?,আপনি এখন কোন ব্রাউজার ব্যবহার করছেন?,আপনি নোট নেওয়ার জন্য কোন অ্যাপ ব্যবহার করেন?,আপনি কোন পাসওয়ার্ড ম্যানেজার ব্যবহার করেন?
,Anonymous user,2025-12-14T19:05:29+06:00,,,x86_64,16GB,,GNOME,হ্যাঁ,Awesome,GNOME Terminal,Bash,প্রভাত,Mozilla Firefox,Notion; Obsidian; Google Keep,"Bitwarden; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-15T19:45:21+06:00,2023,Manjaro,x86_64,8GB,ArchLinux,KDE,না,Default,Kitty,Zsh,জাতীয়,Mozilla Firefox,Notion; Google Keep,Google Password Manager
,Anonymous user,2025-12-16T10:53:09+06:00,2009,Ubuntu,x86_64,12GB,Ubuntu,GNOME,না,None,GNOME Terminal,Zsh,অভ্র,Mozilla Firefox,Google Keep,Bitwarden
,Anonymous user,2025-12-16T11:00:48+06:00,2020,Ubuntu,x86,16GB,ArchLinux,KDE,না,,Konsole,Zsh,প্রভাত,Mozilla Firefox,Google Keep,Bitwarden
,Anonymous user,2025-12-16T11:02:15+06:00,2020,Ubuntu,x86_64,16GB,ArchLinux,i3wm,হ্যাঁ,i3wm,Xfce Terminal,Bash,None,Chromium,Google Keep; Neovim,Bitwarden
,Anonymous user,2025-12-16T11:07:52+06:00,2012,Ubuntu,x86_64,16GB,Linux Mint,XFCE,না,None,,Bash,প্রভাত,Brave,Notesnook,Bitwarden
,Anonymous user,2025-12-16T11:08:03+06:00,2016,Lubuntu,x86_64,32GB,Manjaro,XFCE,না,,Xfce Terminal,Zsh,অভ্র,Brave,NotesHub,Bitwarden
,Anonymous user,2025-12-16T11:08:52+06:00,2020,ArchLinux,x86_64,8GB,ArchLinux,KDE,না,,Konsole,Fish,অভ্র,Waterfox,Obsidian,"Proton Pass; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T11:09:00+06:00,2018,Ubuntu,x86,16GB,Ubuntu,GNOME,না,None,GNOME Terminal,Zsh,ক্ষিপ্র,Brave,Obsidian,
,Anonymous user,2025-12-16T11:15:47+06:00,2015,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,Ubuntu Terminal,Zsh,প্রভাত,Mozilla Firefox,Obsidian; Apple Notes,Bitwarden
,Anonymous user,2025-12-16T11:21:03+06:00,,,,,,KDE,না,,Konsole,Zsh,অভ্র,Mozilla Firefox,Google Keep,Bitwarden
,Anonymous user,2025-12-16T11:21:59+06:00,2022,ArchLinux,x86_64,8GB,ArchLinux,Custom,হ্যাঁ,Sway,Alacritty,Zsh,অভ্র,Brave,Google Keep,None
,Anonymous user,2025-12-16T11:23:00+06:00,2018,Kali Linux,x86_64,16GB,ArchLinux,Hyperland,হ্যাঁ,Hyprland,Alacritty,Zsh,অভ্র,Mozilla Firefox,Notion,
,Anonymous user,2025-12-16T11:24:51+06:00,2018,Ubuntu,x86,16GB,ArtixLinux,DWM,হ্যাঁ,DWM,Suckless Terminal,Zsh,প্রভাত,Mozilla Firefox,ORG in Emacs,Proton Pass
,Anonymous user,2025-12-16T11:52:55+06:00,2021,,arm64,6GB,Kali Linux,GNOME,হ্যাঁ,Hyprland,GNOME Terminal,Zsh,অভ্র,Brave,Notion; Obsidian,Brave pass
,Anonymous user,2025-12-16T11:53:52+06:00,2020,Ubuntu,x86_64,16GB,ArchLinux,None,হ্যাঁ,Hyprland,Kitty,Zsh,অভ্র,Microsoft Edge,None,None
,Anonymous user,2025-12-16T11:55:02+06:00,,Ubuntu,x86_64,64GB,ArchLinux,KDE,না,None,Konsole,Bash,অভ্র,Microsoft Edge,Google Keep; Apple Notes,Apple Passwords
,Anonymous user,2025-12-16T12:02:28+06:00,2023,Linux Mint,x86_64,16GB,Fedora,GNOME,না,None,GNOME Terminal,Fish,ক্ষিপ্র,Microsoft Edge,Notion; Telegram,Bitwarden
,Anonymous user,2025-12-16T12:08:15+06:00,2024,ArchLinux,arm64,16GB,ArchLinux,GNOME,হ্যাঁ,Hyprland,Alacritty,Bash,অভ্র,Brave,Notion,"Bitwarden; Proton Pass; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T12:25:03+06:00,2019,Elementary OS,x86_64,16GB,ArchLinux,GNOME,না,,GNOME Terminal,Bash,জাতীয়,Mozilla Firefox,Notesnook,Proton Pass
,Anonymous user,2025-12-16T12:26:26+06:00,2014,Ubuntu,x86_64,8GB,ArchLinux,i3WM,হ্যাঁ,i3wm,Kitty,Zsh,জাতীয়,Mozilla Firefox,Notion; Obsidian; Google Keep,Bitwarden
,Anonymous user,2025-12-16T12:27:54+06:00,2018,Ubuntu,x86_64,32GB,Ubuntu,GNOME,হ্যাঁ,Not sure ,GNOME Terminal,Bash,অভ্র,Brave,Google Docs ,None
,Anonymous user,2025-12-16T12:29:30+06:00,2014,Linux Mint,x86_64,16GB,ArchLinux,GNOME,না,,GNOME Terminal,Fish,অভ্র,Microsoft Edge,Obsidian,Bitwarden
,Anonymous user,2025-12-16T12:32:38+06:00,2016,Ubuntu,x86_64,32GB,Fedora,KDE,না,,Konsole,Bash,প্রভাত,Mozilla Firefox,Apple Notes,Bitwarden
,Anonymous user,2025-12-16T12:34:48+06:00,2022,Ubuntu,x86,16GB,Fedora,GNOME,না,,Kitty,Zsh,অভ্র,Brave,Obsidian,
,Anonymous user,2025-12-16T12:35:38+06:00,2018,Ubuntu,x86_64,16GB,ArchLinux,KDE,হ্যাঁ,Awesome,Konsole,Zsh,প্রভাত,Google Chrome,Google Keep,Proton Pass
,Anonymous user,2025-12-16T12:38:13+06:00,2023,Ubuntu,arm64,8GB,Ubuntu,GNOME,হ্যাঁ,i3wm,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Google Keep,None
,Anonymous user,2025-12-16T12:40:02+06:00,2015,Ubuntu,x86_64,12GB,Fedora,GNOME,না,,GNOME Terminal,Bash,জাতীয়,Mozilla Firefox,Obsidian,
,Anonymous user,2025-12-16T12:50:32+06:00,2020,Linux Mint,x86_64,16GB,CachyOS,KDE,না,,Konsole,Fish,প্রভাত,Zen,Beaver Note,Bitwarden
,Anonymous user,2025-12-16T12:52:01+06:00,2023,Fedora,x86_64,8GB,ArchLinux,Hyprland,হ্যাঁ,Hyprland,Kitty,Zsh,অভ্র,Zen,Obsidian,Bitwarden
,Anonymous user,2025-12-16T12:52:14+06:00,2024,Ubuntu,x86_64,8GB,Ubuntu,GNOME,না,Hyprland,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Google Keep,Proton Pass
,Anonymous user,2025-12-16T13:06:19+06:00,2013,Ubuntu,x86_64,16GB,Manjaro,KDE,না,KWin,Warp,Zsh,প্রভাত,Brave,Notion,Bitwarden
,Anonymous user,2025-12-16T13:09:05+06:00,2017,Ubuntu,x86_64,8GB,Debian,XFCE,না,Hyprland,GNOME Terminal,Bash,অভ্র,Brave,Notion,Bitwarden
,Anonymous user,2025-12-16T13:16:31+06:00,2024,Ubuntu,x86_64,12GB,Ubuntu,UBUNTU,হ্যাঁ,Hyprland,GNOME Terminal,Bash,প্রভাত,Brave,Google Keep,Proton Pass
,Anonymous user,2025-12-16T13:18:28+06:00,2020,Ubuntu,x86_64,16GB,Fedora,GNOME,না,,Kitty,Fish,অভ্র,Vivaldi ,Notesnook; Obsidian,Bitwarden; Proton Pass
,Anonymous user,2025-12-16T13:19:18+06:00,2015,Ubuntu,x86,32GB,Windows,,না,,,Bash,অভ্র,Google Chrome,Google Keep,
,Anonymous user,2025-12-16T13:24:22+06:00,2018,Ubuntu,x86_64,8GB,Linux Mint,Cinnamon,না,Cinnamon,GNOME Terminal,Zsh,প্রভাত,Mozilla Firefox,Google Keep; Obsidian,Proton Pass
,Anonymous user,2025-12-16T13:29:51+06:00,2018,Opensuse,x86_64,16GB,Debian,KDE,হ্যাঁ,i3wm,Konsole,Bash,অভ্র,Mozilla Firefox,Evernote,Bitwarden
,Anonymous user,2025-12-16T13:31:57+06:00,2016,Debian,x86_64,16GB,OpenSUSE,KDE,হ্যাঁ,DWM,Konsole,Bash,অভ্র,Mozilla Firefox,Evernote,Bitwarden
,Anonymous user,2025-12-16T13:35:46+06:00,2025,Ubuntu,x86,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Notion,
,Anonymous user,2025-12-16T13:37:06+06:00,2020,Ubuntu,,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,অভ্র,Mozilla Firefox,Notion,
,Anonymous user,2025-12-16T13:46:54+06:00,2005,Ubuntu,x86_64,16GB,Ubuntu,LXDE,হ্যাঁ,Hyprland,Konsole,Bash,জাতীয়,Mozilla Firefox,Notesnook,Proton Pass
,Anonymous user,2025-12-16T13:49:31+06:00,2010,CentOS,x86_64,16GB,Ubuntu,GNOME,হ্যাঁ,i3wm,Kitty,Bash,,Brave,Google Keep,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T13:51:02+06:00,2019,Debian,x86_64,8GB,ArchLinux,GNOME,হ্যাঁ,Hyprland,Konsole,Bash,অভ্র,Mozilla Firefox,Notesnook,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T13:56:46+06:00,2003,Red Hat,x86_64,8GB,Ubuntu,GNOME,না,None,None,Bash,অভ্র,Waterfox,Google Keep,None
,Anonymous user,2025-12-16T13:57:03+06:00,2017,Ubuntu,x86_64,16GB,CachyOS,KDE,না,,Kitty,Fish,,Brave,,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T14:07:15+06:00,2023,Ubuntu,x86_64,8GB,ArchLinux,KDE,না,,Konsole,Bash,অভ্র,Brave,notallyX,
,Anonymous user,2025-12-16T14:11:20+06:00,,Debian,x86_64,16GB,Ubuntu,GNOME,হ্যাঁ,i3wm,GNOME Terminal,Bash,অভ্র,Brave,Simple Note,Bitwarden
,Anonymous user,2025-12-16T14:13:30+06:00,,Linux Mint,x86_64,8GB,Ubuntu,GNOME,,,GNOME Terminal,Zsh,অভ্র,Brave,Notion; Samsung Notes,
,Anonymous user,2025-12-16T14:14:18+06:00,2010,CentOS,"x86_64; arm64",16GB,ArchLinux,None,হ্যাঁ,"Hyprland, Awesome",Kitty,Zsh,প্রভাত,Vivaldi,Obsidian,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T14:25:12+06:00,2006,Red Hat,x86,16GB,Ubuntu,KDE,হ্যাঁ,Awesome,GNOME Terminal,Bash,অভ্র,Google Chrome,Evernote,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T14:31:33+06:00,2021,Ubuntu,x86_64,16GB,ArchLinux,KDE,না,Kwin,Konsole,Zsh,জাতীয়,Mozilla Firefox,Obsidian; Google Keep,Bitwarden
,Anonymous user,2025-12-16T14:32:54+06:00,2013,Parrot Linux,arm64,8GB,CachyOS,KDE,না,,Fish Shell,Fish,অভ্র,Brave,Google Keep,None
,Anonymous user,2025-12-16T14:33:19+06:00,2018,Ubuntu,x86_64,24GB,ArchLinux,KDE,না,,Konsole,Zsh,প্রভাত,Brave,,
,Anonymous user,2025-12-16T14:45:21+06:00,2018,Ubuntu,x86_64,16GB,Fedora,GNOME,না,,Ptyxis,Bash,ক্ষিপ্র,Zen Browser,Quillpad,Vaultwarden
,Anonymous user,2025-12-16T15:00:38+06:00,2024,ArchLinux,x86_64,4GB,EndaevourOS,KDE,হ্যাঁ,Hyprland,Kitty,Bash,অভ্র,Mozilla Firefox,,
,Anonymous user,2025-12-16T15:23:10+06:00,2024,Linux Mint,x86_64,8GB,Fedora,GNOME,না,,GNOME Terminal,Bash,ক্ষিপ্র,Mozilla Firefox,Google Keep,Vaultwarden
,Anonymous user,2025-12-16T15:33:43+06:00,2024,Ubuntu,x86_64,8GB,Ubuntu,GNOME,না,No idea,GNOME Terminal,Bash,জাতীয়,Microsoft Edge,Google Keep,Proton Pass
,Anonymous user,2025-12-16T15:39:16+06:00,,Ubuntu,arm64,8GB,Ubuntu,GNOME,না,,,Bash,অভ্র,Google Chrome,Notion; Google Keep,
,Anonymous user,2025-12-16T15:45:56+06:00,2024,Red Hat,x86_64,16GB,Ubuntu,GNOME,হ্যাঁ,Hyprland,GNOME Terminal,Bash,অভ্র,Google Chrome,Google Keep; Notesnook,Vaultwarden
,Anonymous user,2025-12-16T15:46:19+06:00,2020,Linux Mint,x86,8GB,ArchLinux,GNOME,হ্যাঁ,Hyprland,Kitty,Zsh,প্রভাত,Brave,Obsidian; Notion,Bitwarden
,Anonymous user,2025-12-16T15:51:20+06:00,,Windows,x86_64,8GB,ArchLinux,KDE,না,i3wm,GNOME Terminal,Bash,প্রভাত,Mozilla Firefox,Notion,Proton Pass
,Anonymous user,2025-12-16T16:00:50+06:00,2025,Linux Mint,x86_64,8GB,Linux Mint,Cinnamon ,না,None,Konsole,Fish,অভ্র,Google Chrome,Notion; Google Keep,Google Password Manager 
,Anonymous user,2025-12-16T16:21:08+06:00,2012,Ubuntu,x86_64,16GB,Fedora,GNOME,না,,GNOME Terminal,Bash,প্রভাত,Opera,Samsung Notes,Opera Password Manager; Samsung Passcode
,Anonymous user,2025-12-16T16:34:53+06:00,2020,Ubuntu,x86_64,8GB,Fedora,GNOME,না,,GNOME Terminal,Zsh,অভ্র,Brave,Obsidian,"Proton Pass; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T16:43:38+06:00,2016,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,Bash,প্রভাত,Google Chrome,I don't take note,None
,Anonymous user,2025-12-16T16:44:44+06:00,2019,Ubuntu,x86_64,16GB,ArchLinux,KDE,হ্যাঁ,Hyprland,Konsole,Zsh,অভ্র,Mozilla Firefox,Obsidian,Bitwarden
,Anonymous user,2025-12-16T17:09:52+06:00,2017,Ubuntu,x86_64,8GB,Ubuntu,GNOME,না,,GNOME Terminal,,,Microsoft Edge,Google Keep,Bitwarden
,Anonymous user,2025-12-16T17:10:59+06:00,2012,Ubuntu,arm64,8GB,Kubuntu,KDE,না,No idea,GNOME Terminal,Bash,অভ্র,Opera,Google Keep,Bitwarden
,Anonymous user,2025-12-16T17:22:26+06:00,2025,Debian,x86_64,4GB,Debian,GNOME,না,,,Zsh,জাতীয়,Mozilla Firefox,Google Keep,Google Keep
,Anonymous user,2025-12-16T17:56:31+06:00,2017,Ubuntu,x86_64,16GB,ArchLinux,XFCE,হ্যাঁ,Hyprland,Konsole,Bash,অভ্র,Brave,Notion; Obsidian; Notesnook,"Bitwarden; Proton Pass; KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T18:18:50+06:00,2013,Debian,x86_64,16GB,Debian,"KDE; XFCE",না,None,Konsole,Bash,অভ্র,"Chrome, Firefox",Notion; Obsidian,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T18:38:40+06:00,2020,Ubuntu,x86_64,16GB,ArchLinux,Hyprland,হ্যাঁ,Hyprland,Kitty,Zsh,অভ্র,Brave,Obsidian,"KeePass (KeePassXC, KeePassDX)"
,Anonymous user,2025-12-16T18:55:33+06:00,2024,Ubuntu,x86_64,16GB,Ubuntu,GNOME,না,,GNOME Terminal,,,Mozilla Firefox,Notion; Obsidian,
,Anonymous user,2025-12-16T19:03:19+06:00,2022,Ubuntu,x86,32GB,ArchLinux,GNOME,না,,GNOME Terminal,Bash,অভ্র,Google Chrome,Notion; Obsidian,
